id,name,biography,birth_date,photo_url,created_at
65731,Sam Worthington,"Samuel Henry John Worthington (born 2 August 1976) is an Australian actor. He is known for playing Jake Sully in the Avatar franchise (2009–present), Marcus Wright in Terminator Salvation (2009), and Perseus in Clash of the Titans (2010) and its sequel Wrath of the Titans (2012).

He has taken other dramatic roles, appearing in The Debt (2010), Everest (2015), Hacksaw Ridge (2016), The Shack (2017), Manhunt (2017), and Fractured (2019). He has received Australia's highest film award three times for his leading roles in Bootmen (2000), Somersault (2004), and Avatar (2009).

On television, Worthington appeared in Australia as Howard in Love My Way and Phillip Schuler in the television drama mini-series Deadline Gallipoli, for which he was also an executive producer. He voiced the protagonist, Captain Alex Mason, in the video game Call of Duty: Black Ops (2010) and its sequels Call of Duty: Black Ops II (2012) and Call of Duty: Black Ops 4 (2018).

Description above from the Wikipedia article Sam Worthington, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1976-08-02,/mflBcox36s9ZPbsZPVOuhf6axaJ.jpg,2025-11-16 01:19:13
8691,Zoe Saldana,"Zoë Yadira Saldaña-Perego (/sɑːlˈdænjə/ sahl-DAN-yə, Latin American Spanish: [ˈso.e salˈdaɲa]; née Saldaña Nazario; born June 19, 1978) is an American actress. Known primarily for her work in science fiction film franchises, she has starred in four of the seven highest-grossing films of all time, including the top three (Avatar, Avatar: The Way of Water, and Avengers: Endgame). Films she has appeared in have grossed more than $15 billion worldwide, and, as of 2024, she is the second highest-grossing lead actress and the highest-grossing actress overall.  Time magazine named her one of the 100 most influential people in the world in 2023.

A trained dancer, Saldaña began her on-screen acting career in 1999 with a guest role in Law & Order. Her first film role was in Center Stage(2000), where she played a ballet dancer. She received early recognition for her work opposite Britney Spears in the road film Crossroads (2002). Beginning in 2009, Saldaña achieved a career breakthrough with her roles as Nyota Uhura in the Star Trek reboot film series and Neytiri in James Cameron's Avatar film series. She portrayed Gamora in five films in the Marvel Cinematic Universe, from Guardians of the Galaxy (2014) to Guardians of the Galaxy Vol. 3 (2023).

In addition to franchise work, Saldaña has starred in the science fiction film The Adam Project and the romantic drama miniseries From Scratch, both for Netflix in 2022. In 2023, she began playing the lead role of a CIA officer in the Paramount+ spy series Lioness. In 2024, Saldaña starred in the musical crime film Emilia Pérez, for which she received several accolades, including the Academy Award, BAFTA Award and Golden Globe Award for Best Supporting Actress.

Description above from the Wikipedia article Zoe Saldaña, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1978-06-19,/iOVbUH20il632nj2v01NCtYYeSg.jpg,2025-11-16 01:19:13
10205,Sigourney Weaver,"Susan Alexandra ""Sigourney"" Weaver (born October 8, 1949) is an American actress. Weaver is considered to be a pioneer of action heroines in science fiction films. She is known for her role as Ellen Ripley in the Alien franchise, which earned her an Academy Award nomination in 1986 and is often regarded as one of the most significant female protagonists in cinema history.

A seven-time Golden Globe Award nominee, Weaver won both Best Actress in Drama and Best Supporting Actress in 1988 for her work in the films Gorillas in the Mist and Working Girl, becoming the first person to win two acting Golden Globes in the same year. She also received Academy Award nominations for both films. For her role in the film The Ice Storm (1997), she won the BAFTA Award for Best Actress ina Supporting Role. She also received a Tony Award nomination for her work in the 1984 Broadway play Hurlyburly.

Weaver's other film roles include Ghostbusters (1984), Ghostbusters II (1989), Dave (1993), Galaxy Quest (1999), Holes (2003), WALL-E (2008), Avatar (2009), Prayers for Bobby (2009), Paul (2011), The Cabin in the Woods (2012), and A Monster Calls (2016); and the television miniseries Political Animals (2012) and The Defenders (2017).

Description above from the Wikipedia article Sigourney Weaver, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1949-10-08,/wTSnfktNBLd6kwQxgvkqYw6vEon.jpg,2025-11-16 01:19:13
32747,Stephen Lang,"Stephen Lang (born July 11, 1952) is an American actor and playwright. He started in theatre on Broadway but is well known for his film portrayals of Stonewall Jackson in Gods and Generals (2003), George Pickett in Gettysburg (1993), and his 2009 roles as Colonel Miles Quaritch in Avatar and as Texan lawman Charles Winstead in Public Enemies. Lang was the co-artistic director (along with Carlin Glynn and Lee Grant) of the famed Actor's Studio at its headquarters in New York City from 2004 to 2006.

Description above from the Wikipedia article Stephen Lang (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia.",1952-07-11,/hdRiM73H2mpJws559TWHCAia7qJ.jpg,2025-11-16 01:19:13
17647,Michelle Rodriguez,"Mayte Michelle Rodríguez (born July 12, 1978) is an American actress. She began her career in 2000, playing a troubled boxer in the independent sports drama film Girlfight (2000), where she won the Independent Spirit Award and Gotham Award for Best Debut Performance. Rodriguez played Letty Ortiz in the Fast & Furious franchise and Rain Ocampo in the Resident Evil franchise. She has starred in the crime thriller S.W.A.T. (2003), James Cameron's science fiction epic Avatar (2009), and in the action film Battle: Los Angeles (2011).

After playing Minerva Mirabal in the biopic Trópico de Sangre (2010), Rodriguez headlined the exploitation films Machete (2010) and Machete Kills (2013) and starred in the animated comedy films Turbo (2013) and Smurfs: The Lost Village(2017), while her performance in the heist film Widows (2018) was critically praised.

Outside of film, Rodriguez played Ana Lucia Cortez in the drama television series Lost (2005–2006; 2009–2010) and voiced Liz Ricarro in the English-language translation of the anime Immortal Grand Prix (2005–2006). She reprised her roles in video game spin-offs of Avatar and Fast & Furious and also appeared in True Crime: Streets of LA (2003), Driver 3 (2004), Halo 2 (2004), and Call of Duty: Black Ops II (2012).

Description above from the Wikipedia article Michelle Rodriguez, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1978-07-12,/wVcbrae4eRqGMFZz8Eh52Dl1biP.jpg,2025-11-16 01:19:13
1771,Giovanni Ribisi,"Giovanni Ribisi (born December 17, 1974) is an American actor. His film credits include Gone in 60 Seconds, Boiler Room, Saving Private Ryan, The Mod Squad, The Gift, Sky Captain and the World of Tomorrow, Lost in Translation and more recently, Public Enemies and Avatar. He is also known for his role as Phoebe Buffay's brother Frank on the sitcom Friends. He also appeared in music videos for Crystal Ball by Keane and Talk About The Blues by The Jon Spencer Blues Explosion.",1974-12-17,/8EAiS9D3YtGOrwNM0OrwmDpWK7s.jpg,2025-11-16 01:19:13
59231,Joel David Moore,"From Wikipedia, the free encyclopedia.

Joel David Moore (born September 25, 1977) is an American actor who has appeared in television commercials, feature films, and television series. He is best known for his roles as Owen Dittman in Dodgeball: A True Underdog Story, Dr. Norm Spellman in Avatar, Colin Fisher in Bones and J.P. in Grandma's Boy.",1977-09-25,/mMVhVglj6BZFuvqAXnEibce08k7.jpg,2025-11-16 01:19:13
30485,CCH Pounder,"Carol Christine Hilaria Pounder (born December 25, 1952), known professionally as CCH Pounder, is a Guyanese-American film and television actress. She's known for her TV roles as medical examiner Dr. Loretta Wade on the series NCIS: New Orleans (2014-2021), District Attorney Tyne Patterson on Sons of Anarchy (2013–2014), Irene Frederic on Warehouse 13 (2009–2014), Captain Claudette Wyms on the FX series The Shield (2002–2008), and Dr. Angela Hicks on the medical drama series ER (1994–1997).

She's known for her film roles as Mo'at in Avatar and Avatar: The Way of Water, Dorothea in The Mortal Instruments: City of Bones, Sister Abigail in Orphan, Detective Margie Francis in End of Days, Hollis Miller in Face/Off, Victoria Hendrix in Sliver, Dr. Garvey in Benny & Joon, Miss Prism in The Importance of Being Earnest, and Peaches Altamont in Prizzi's Honor.

She is also the voice of Amanda Waller in the animated show Justice League Unlimited (2004–2006), a role that she has reprised in later DC Comics media.

She has received four Primetime Emmy Award nominations for her roles in The X-Files, ER, The Shield, and The No. 1 Ladies' Detective Agency.",1952-12-25,/vJ5Swy2WDBC46zJrbJmwsGgTPJ2.jpg,2025-11-16 01:19:13
15853,Wes Studi,"Wesley ""Wes"" Studi (born December 17, 1947) is an American Cherokee actor, who has earned notability for his portrayals of Native Americans in film. He has appeared in well-received Academy Award-winning films, such as Kevin Costner's Dances with Wolves, Michael Mann's The Last of the Mohicans, the award-winning Geronimo: An American Legend and the Academy Award-nominated film The New World (2005). He most recently portrayed General Linus Abner (an analogue to the biblical Abner) in the NBC series Kings, and Eytukan in James Cameron's box office blockbuster Avatar.",1947-12-17,/dAO2bY2NCceYLZiJaBjBdY19Hox.jpg,2025-11-16 01:19:13
10964,Laz Alonso,"Lazaro Alonso (born March 25, 1974) is an American actor. He is known for playing Tsu'tey in James Cameron's science fiction film Avatar and Fenix Calderon in the film Fast & Furious. Alonso has had roles in other films such as Jarhead, This Christmas, Miracle at St. Anna and Detroit. As of 2019, Alonso is part of the main cast of Amazon Prime Video original series The Boys (based on the comic book series of the same name) playing the character known as Marvin T. ""MM (Mother's Milk)"" Milk.",1974-03-25,/nmgOd3X2Xn3jIp9OLCRJzLExRWN.jpg,2025-11-16 01:19:13
