user_id,movie_id
101,120
101,122
101,121
101,278
101,550
101,155
101,769
101,8587
101,150540
101,333355
101,207
101,11
101,13
101,105
101,862
101,1891
101,673
101,168259
101,211672
101,58
101,1865
101,12
101,559
102,7345
102,72976
102,3131
102,1124
102,1359
102,5176
102,168672
102,318846
102,98
102,453
102,2118
102,11983
102,12113
102,16995
102,20662
102,86834
102,39254
102,146233
102,273481
102,629
102,1900
102,14
102,807
102,161
102,787
102,4922
102,2567
102,597
102,640
102,13
102,497
102,591
102,594
102,857
102,8358
102,9800
102,109424
102,296098
102,2034
102,1883
102,20504
103,9799
103,155
103,238
103,27205
103,111
103,157336
103,106646
103,694
103,550
103,98
103,7347
103,539
103,1933
103,138843
103,6114
103,609
103,259693
104,157336
104,105
104,10681
104,603
104,604
104,605
104,429
104,423
104,1124
104,424
104,16869
104,752
104,137113
104,1726
104,10138
104,24428
104,293660
104,218
104,36557
104,99861
104,119450
105,10191
105,920
105,752
105,4922
105,70160
105,10195
105,411
105,76341
105,37799
105,37165
105,671
105,119450
105,286217
105,161
105,272
105,198663
105,11324
105,597
105,211672
105,278
105,238
105,240
105,242
105,155
105,13
105,150540
105,120467
105,122
105,121
105,120
105,122917
105,49051
105,57158
105,10681
105,157336
105,49026
105,585
105,2062
105,9806
105,27205
