user_id,comment_id,vote_type
21,1,like
36,1,dislike
77,1,dislike
3,1,dislike
95,2,like
61,2,like
72,2,like
99,2,like
18,2,like
31,2,like
15,2,like
76,2,like
8,2,like
7,2,like
52,2,like
83,2,like
6,2,like
46,2,like
17,2,like
37,2,like
13,2,like
100,2,like
28,2,like
56,2,like
11,2,like
40,2,like
33,2,dislike
36,2,dislike
74,2,dislike
98,2,dislike
97,2,dislike
82,2,dislike
65,2,dislike
27,3,like
31,3,like
82,3,like
35,3,like
86,3,like
62,3,like
56,3,like
87,3,like
55,3,like
88,3,dislike
16,3,dislike
32,3,dislike
64,3,dislike
93,3,dislike
59,3,dislike
66,3,dislike
65,3,dislike
4,3,dislike
19,3,dislike
99,3,dislike
26,3,dislike
58,3,dislike
54,3,dislike
47,3,dislike
43,3,dislike
60,3,dislike
19,5,like
74,5,dislike
100,6,like
50,6,like
84,6,like
98,6,like
14,6,like
12,6,like
1,6,like
28,6,like
24,6,like
55,6,like
13,6,like
9,6,like
79,6,like
69,6,like
22,6,dislike
46,6,dislike
84,7,like
29,7,like
28,7,like
91,7,like
70,7,like
19,7,like
33,7,like
71,7,like
97,7,like
78,7,like
23,7,dislike
57,7,dislike
63,7,dislike
73,7,dislike
13,7,dislike
67,7,dislike
54,7,dislike
26,7,dislike
77,7,dislike
14,7,dislike
56,8,like
75,8,like
61,8,like
9,8,like
80,8,like
55,8,like
98,8,like
24,8,like
79,8,like
32,9,like
92,9,like
86,9,like
29,9,like
17,9,like
79,9,like
27,9,like
99,9,like
71,9,like
95,9,like
68,9,like
62,9,like
60,9,like
20,9,like
50,9,like
43,9,dislike
83,9,dislike
91,9,dislike
89,9,dislike
14,10,like
59,10,like
70,10,like
7,10,like
89,10,like
94,10,like
44,10,like
88,10,like
74,10,like
67,10,like
43,10,like
37,10,like
6,10,like
84,10,like
45,10,dislike
59,11,like
45,11,like
1,11,like
87,11,like
86,11,like
74,11,like
37,11,like
22,11,like
91,11,like
84,11,like
41,11,like
7,11,like
19,11,like
26,11,like
57,11,like
90,11,like
28,11,like
29,11,like
76,11,like
97,11,like
3,11,like
48,11,like
43,11,like
64,12,like
14,12,like
35,12,like
36,12,like
92,12,like
57,12,like
9,12,dislike
31,13,like
57,13,like
67,13,like
76,13,like
33,13,like
50,13,like
28,13,like
78,13,like
62,13,like
2,13,like
56,13,like
17,13,dislike
6,13,dislike
32,13,dislike
77,13,dislike
22,13,dislike
88,13,dislike
29,13,dislike
44,13,dislike
73,13,dislike
12,13,dislike
25,13,dislike
89,13,dislike
36,13,dislike
85,13,dislike
46,13,dislike
90,13,dislike
43,13,dislike
54,13,dislike
39,13,dislike
89,15,like
24,15,like
78,15,like
64,15,like
14,15,like
84,15,like
80,15,like
36,15,like
90,15,like
11,15,like
62,15,like
88,15,like
1,15,like
39,15,like
43,15,like
99,15,dislike
10,15,dislike
18,16,like
24,16,like
50,16,like
53,16,like
13,16,like
96,16,like
82,16,like
58,16,like
69,16,like
93,16,like
91,16,like
89,16,like
87,16,like
23,16,like
73,16,like
2,16,like
14,16,like
4,16,like
66,16,dislike
8,16,dislike
7,16,dislike
43,16,dislike
74,16,dislike
5,16,dislike
48,17,like
52,17,like
21,18,like
15,18,like
48,18,like
36,18,like
86,18,like
98,18,like
8,18,like
58,18,like
23,18,like
100,18,like
71,18,like
7,18,like
39,18,like
70,18,dislike
85,18,dislike
60,18,dislike
74,18,dislike
89,18,dislike
20,18,dislike
3,18,dislike
55,18,dislike
40,19,like
77,19,like
65,19,like
12,19,dislike
92,19,dislike
48,19,dislike
58,19,dislike
26,19,dislike
97,19,dislike
16,19,dislike
67,19,dislike
41,19,dislike
23,19,dislike
54,19,dislike
79,19,dislike
11,19,dislike
37,19,dislike
27,19,dislike
60,19,dislike
75,19,dislike
4,20,like
98,20,like
11,20,dislike
93,20,dislike
94,20,dislike
84,20,dislike
33,20,dislike
47,20,dislike
89,20,dislike
35,20,dislike
